English,Hindi
you,आप
i,मैं
to,को
a,ए
s,एस
it,यह
and,और
that,वह
t,टी
of,का
is,है
in,में
what,क्या
we,हम
me,मुझे
this,यह
he,वह
for,के लिए
my,मेरा
on,पर
have,पास होना
your,आपका
do,करना
was,था
m,एम
no,नहीं
not,नहीं
be,होना
are,हैं
don,अगुआ
re,दोबारा
know,जानना
can,कर सकना
with,साथ
but,लेकिन
all,सभी
so,इसलिए
just,अभी
there,वहाँ
here,यहाँ
they,वे
like,पसंद
ll,डालूँगा
get,पाना
she,वह
go,जाना
if,अगर
right,सही
out,बाहर
about,के बारे में
up,ऊपर
at,पर
him,उसे
now,अब
oh,ओह
one,एक
come,आना
well,कुंआ
her,उसकी
how,कैसे
yeah,हाँ
ve,वे
will,इच्छा
got,प्राप्त
want,चाहना
think,सोचना
as,जैसा
see,देखना
did,किया
good,अच्छा
who,कौन
why,क्यों
from,से
let,होने देना
his,उसका
yes,हाँ
when,कब
going,जा रहा है
time,समय
an,एक
okay,ठीक है
back,पीछे
look,देखना
us,हम
would,चाहेंगे
them,उन्हें
where,कहाँ
were,थे
take,लेना
then,तब
had,था
or,या
been,गया
our,हमारा
gonna,होने वाला
tell,कहना
really,वास्तव में
man,आदमी
some,कुछ
say,कहना
hey,अरे
could,सकना
d,डी
didn,नहीं आया
by,द्वारा
need,ज़रूरत
something,कुछ
has,है
too,बहुत
more,अधिक
way,रास्ता
down,नीचे
make,बनाना
very,बहुत
never,कभी नहीं
only,केवल
people,लोग
over,ऊपर
because,क्योंकि
little,थोड़ा
please,कृपया
love,प्यार
should,चाहिए
mean,अर्थ
said,कहा
sorry,क्षमा मांगना
give,देना
off,बंद
am,पूर्वाह्न
thank,धन्यवाद
any,कोई
two,दो
even,यहां तक ​​की
much,अधिकता
doing,कर रहा है
sure,ज़रूर
thing,चीज़
these,इन
help,मदद
first,पहला
into,में
anything,कुछ भी
still,फिर भी
find,खोजो
life,ज़िंदगी
nothing,कुछ नहीं
sir,महोदय
day,दिन
god,ईश्वर
work,काम
their,उनका
uh,उह
again,दोबारा
maybe,शायद
must,अवश्य
before,पहले
other,अन्य
wait,इंतज़ार
stop,रुकना
call,पुकारना
after,बाद
won,जीत गया
talk,बात करना
away,दूर
than,बजाय
thought,सोचा
home,घर
night,रात
put,रखना
great,महान
those,वे
last,अंतिम
better,बेहतर
everything,सब कुछ
told,बताया
mr.,श्री।
new,नया
things,चीज़ें
always,हमेशा
keep,रखना
long,लंबा
years,साल
leave,छुट्टी
does,करता है
money,धन
around,आस-पास
doesn,नहीं करता है
name,नाम
place,जगह
ever,कभी
feel,अनुभव करना
guys,दोस्तो
father,पिता
guy,लड़का
made,बनाया
old,पुराना
isn,प्रतिसाद नहीं
which,कौन
big,बड़ा
lot,बहुत
done,हो गया
hello,नमस्ते
nice,अच्छा
believe,विश्वास
girl,लड़की
someone,कोई
fine,अच्छा
thanks,धन्यवाद
wanted,वांछित
kind,दयालु
coming,आ रहा
house,घर
every,प्रत्येक
ok,ठीक है
through,के माध्यम से
being,प्राणी
course,अवधि
stay,रहना
left,बाएं
dad,पापा
enough,पर्याप्त
happened,घटित
came,आया
may,मई
mother,माँ
wrong,गलत
world,दुनिया
bad,खराब
might,हो सकता है
three,तीन
today,आज
listen,सुनना
another,एक और
understand,समझना
hear,सुनो
remember,याद करना
ask,पूछना
own,अपना
same,वही
show,दिखाओ
else,अन्य
kill,मारना
talking,बात कर रहे हैं
found,मिला
next,अगला
getting,उपार्जन
care,देखभाल
car,कार
looking,देखना
son,बेटा
try,कोशिश
woman,महिला
went,गया
hi,नमस्ते
dead,मृत
many,अनेक
mind,दिमाग
wasn,नहीं दिया
friend,दोस्त
best,श्रेष्ठ
mom,माँ
hell,नरक
morning,सुबह
trying,कोशिश कर रहा हूँ
boy,लड़का
together,एक साथ
yourself,अपने आप को
job,काम
saw,देखा
family,परिवार
real,असली
without,बिना
baby,बच्चा
room,कमरा
wouldn,नहीं
already,पहले से
move,कदम
most,अधिकांश
seen,देखा
live,रहना
miss,याद
actually,वास्तव में
huh,हुह
shit,बकवास
both,दोनों
heard,सुना
once,एक बार
ready,तैयार
head,सिर
called,बुलाया
used,इस्तेमाल किया गया
idea,विचार
knew,जानता था
hold,पकड़ना
happy,खुश
door,दरवाजा
such,ऐसा
fuck,लानत है
brother,भाई
also,भी
pretty,सुंदर
bit,अंश
took,लिया
haven,हेवन
yet,अभी तक
men,पुरुषों
whole,साबुत
start,शुरू
use,उपयोग
while,जबकि
since,तब से
wife,पत्नी
days,दिन
guess,अनुमान
tomorrow,कल
matter,मामला
meet,मिलो
bring,लाना
tonight,आज रात
everyone,सब लोग
run,दौड़ना
wanna,चाहना
hard,मुश्किल
ah,एएच
alone,अकेला
myself,खुद
school,विद्यालय
gone,गया
um,उम
end,अंत
saying,कह रहा
phone,फ़ोन
play,खेल
looks,दिखता है
couldn,नहीं किया जा सका
fucking,कमबख्त
problem,संकट
few,कुछ
friends,दोस्त
gotta,पड़ेगा
ago,पहले
open,खुला
anyone,कोई भी
killed,मार डाला
hope,आशा
face,चेहरा
until,जब तक
lost,खो गया
police,पुलिस
excuse,क्षमा
turn,मोड़
business,व्यापार
case,मामला
wants,चाहता हे
says,कहते हैं
TRUE,सत्य
die,मरना
heart,दिल
soon,जल्द ही
each,प्रत्येक
worry,चिंता
later,बाद में
year,वर्ष
watch,घड़ी
music,संगीत
hand,हाथ
having,होना
probably,शायद
beautiful,सुंदर
doctor,चिकित्सक
sit,बैठना
eat,खाओ
thinking,सोच
young,युवा
second,दूसरा
working,कार्यरत
water,पानी
person,व्यक्ति
part,भाग
kids,बच्चे
late,देर
stuff,सामग्री
exactly,बिल्कुल
under,अंतर्गत
death,मौत
minute,मिनट
pay,वेतन
crazy,पागल
forget,भूल जाओ
everybody,हर कोई
kid,बच्चा
change,परिवर्तन
gave,दिया
happen,होना
damn,लानत है
five,पाँच
drink,पीना
far,दूर
knows,जानता है
its,इसका
whatever,जो कुछ भी
eyes,आँखें
shut,बंद
aren,नहीं कर रहे
hit,मार
taking,ले रहा हूँ
easy,आसान
times,टाइम्स
check,जाँच करना
hands,हाथ
minutes,मिनट
deal,सौदा
different,अलग
means,मतलब
point,बिंदु
inside,अंदर
makes,बनाता है
asked,पूछा
somebody,कोई व्यक्ति
mine,मेरा
making,निर्माण
body,शरीर
afraid,डरना
sleep,नींद
chance,मौका
dear,प्रिय
quite,अत्यंत
four,चार
anyway,फिर भी
close,बंद करना
ain,ऐन
party,दल
fun,मज़ा
against,ख़िलाफ़
word,शब्द
comes,आता है
important,महत्वपूर्ण
set,तय करना
shall,करेगा
story,कहानी
number,संख्या
daughter,बेटी
least,कम से कम
waiting,इंतज़ार में
hurt,आहत
wish,इच्छा
moment,पल
fight,झगड़ा करना
week,सप्ताह
husband,पति
girls,लड़कियाँ
rest,आराम
married,विवाहित
fire,आग
game,खेल
nobody,कोई नहीं
mr,श्री
children,बच्चे
side,ओर
stand,खड़ा होना
read,पढ़ना
though,यद्यपि
cut,काटना
started,शुरू कर दिया
sister,बहन
supposed,कल्पित
between,बीच में
child,बच्चा
goes,जाता है
hours,घंटे
speak,बोलना
women,औरत
behind,पीछे
almost,लगभग
truth,सच
blood,खून
able,योग्य
lady,महिला
anymore,अब और
playing,खेलना
gets,जाता
shot,गोली मारना
reason,कारण
trouble,मुश्किल
break,तोड़ना
war,युद्ध
city,शहर
walk,टहलना
town,शहर
trust,विश्वास
dr.,डॉ।
met,मिले
office,कार्यालय
question,सवाल
brought,लाया
yours,तुम्हारा
welcome,स्वागत
high,उच्च
wow,बहुत खूब
couple,युगल
half,आधा
died,मृत
cool,ठंडा
free,मुक्त
either,दोनों में से एक
seems,प्रतीत
power,शक्ति
whoa,रुको
bye,अलविदा
buy,खरीदना
telling,कह
honey,शहद
tried,कोशिश की
front,सामने
team,टीम
answer,उत्तर
gun,बंदूक
boys,लड़के
line,रेखा
send,भेजना
news,समाचार
stupid,मूर्ख
bed,बिस्तर
hurry,जल्दी
full,भरा हुआ
months,महीने
save,बचाना
sometimes,कभी-कभी
become,बनना
along,साथ में
hate,घृणा
food,खाना
outside,बाहर
light,रोशनी
l,एल
needs,आवश्यकताओं
dog,कुत्ता
country,देश
clear,स्पष्ट
order,आदेश
em,ईएम
fact,तथ्य
lord,भगवान
captain,कप्तान
six,छह
hot,गर्म
funny,मज़ेदार
black,काला
mrs.,श्रीमती।
alive,जीवित
pick,चुनना
feeling,अनुभूति
living,जीविका
cause,कारण
ahead,आगे
lose,खोना
king,राजा
plan,योजना
dinner,रात का खाना
sighs,विलाप
sort,क्रम से लगाना
leaving,छोड़कर
shouldn,नहीं करना चाहिए
running,दौड़ना
boss,मालिक
alright,ठीक
promise,वादा
taken,लिया
safe,सुरक्षित
ma,एमए
book,किताब
sent,भेजा
white,सफ़ेद
hour,घंटा
anybody,कोई भी
small,छोटा
perfect,उत्तम
cause,कारण
lives,ज़िंदगियाँ
special,विशेष
parents,अभिभावक
s,एस
john,जॉन
himself,वह स्वयं
perhaps,शायद
sounds,आवाज़
serious,गंभीर
sick,बीमार
company,कंपनी
ha,हा
scared,डरा हुआ
uncle,चाचा
poor,गरीब
red,लाल
past,अतीत
earth,धरती
possible,संभव
shoot,गोली मार
touch,छूना
sound,आवाज़
top,शीर्ष
ass,गधा
laughs,हंसता
cannot,नही सकता
asking,की मांग कर रहा
win,जीतना
glad,खुश
control,नियंत्रण
hmm,हम्म
human,इंसान
drive,गाड़ी चलाना
hair,बाल
jack,जैक
bitch,कुतिया
luck,भाग्य
murder,हत्या
happens,ह ाेती है
air,वायु
ten,दस
daddy,पापा
finally,अंत में
chuckles,चकल्स
fast,तेज़
cold,ठंडा
seem,प्रतीत होना
laughing,हँसना
words,शब्द
hospital,अस्पताल
street,गली
hang,लटकाना
dance,नृत्य
meeting,बैठक
till,तक
others,अन्य
catch,पकड़ना
follow,अनुसरण करना
sense,समझ
sex,सेक्स
lie,झूठ
evening,शाम
master,मालिक
known,ज्ञात
dream,सपना
write,लिखना
million,दस लाख
voice,आवाज़
sweet,मिठाई
rather,की अपेक्षा
felt,अनुभव किया
sign,संकेत
lucky,भाग्यशाली
somewhere,कहीं
bet,बेट
o,हे
jesus,यीशु
longer,अब
calling,कॉलिंग
worked,काम
quiet,शांत
looked,देखा
less,कम
pull,खींचो
beat,मारो
careful,सावधान
coffee,कॉफी
return,वापस करना
secret,गुप्त
weeks,हफ्तों
weren,नहीं थे
date,तारीख
seeing,देख के
fall,गिरना
given,दिया गया
ooh,उह
fault,गलती
straight,सीधा
takes,लेता है
song,गाना
future,भविष्य
gentlemen,सज्जनों
loved,प्यार किया
changed,बदल गया
road,सड़क
calm,शांत
wonderful,आश्चर्यजनक
mad,पागल
turned,चालू
drop,बूँद
ladies,महिलाओं
learn,सीखना
step,कदम
absolutely,बिल्कुल
early,जल्दी
explain,व्याख्या करना
clean,साफ
piece,टुकड़ा
yesterday,कल
throw,फेंक
picture,चित्र
land,भूमि
feet,पैर
wonder,आश्चर्य
questions,प्रश्न
speaking,बोला जा रहा है
worth,लायक
darling,प्रिय
dude,दोस्त
giving,दे रही है
president,अध्यक्ष
eye,आँख
quick,जल्दी
moving,चल रहा है
figure,आकृति
state,राज्य
strong,मज़बूत
sam,सैम
none,कोई नहीं
amazing,अद्भुत
ones,लोगों
works,काम करता है
act,कार्य
needed,आवश्यकता है
weird,अजीब
law,कानून
worried,चिंतित
report,प्रतिवेदन
goodbye,अलविदा
missing,गुम
choice,पसंद
happening,हो रहा
chief,अध्यक्ष
wedding,शादी
strange,अजीब
general,सामान्य
pain,दर्द
am,पूर्वाह्न
kidding,मज़ाक कर रहा है
decided,फैसला किया
ya,फिर
pass,उत्तीर्ण
tired,थका हुआ
class,कक्षा
officer,अफ़सर
kept,रखा
wake,जागो
worse,ज़्यादा बुरा
busy,व्यस्त
eh,एह
mistake,गलती
kiss,चुंबन
court,अदालत
building,इमारत
finish,खत्म करना
during,दौरान
age,आयु
ship,जहाज
caught,पकड़ा गया
marry,शादी करो
meant,मतलब
sell,बेचना
dark,अँधेरा
watching,देख रहे
system,प्रणाली
suppose,कल्पना करना
evidence,प्रमाण
movie,चलचित्र
ride,सवारी
t,टी
completely,पूरी तरह
mouth,मुँह
totally,पूरी तरह से
birthday,जन्मदिन
tv,टीवी
forgive,क्षमा करना
born,जन्म
